college_code,college_name,branch_name,category,round,year,seat_type,cutoff_rank,source_file
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2AH,1,2026,Kalyana Karnataka,7413,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,3BRH,1,2026,Kalyana Karnataka,7066,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GMH,1,2026,Kalyana Karnataka,4352,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,S1H,1,2026,Kalyana Karnataka,29782,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,1H,1,2026,Kalyana Karnataka,76290,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,1RH,1,2026,Kalyana Karnataka,83289,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,2AH,1,2026,Kalyana Karnataka,52828,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,2BH,1,2026,Kalyana Karnataka,71727,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,GMH,1,2026,Kalyana Karnataka,42301,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,S3H,1,2026,Kalyana Karnataka,65531,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,1H,1,2026,Kalyana Karnataka,6747,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,2AH,1,2026,Kalyana Karnataka,7303,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,2AKH,1,2026,Kalyana Karnataka,9965,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,GMH,1,2026,Kalyana Karnataka,3402,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,GMRH,1,2026,Kalyana Karnataka,6306,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,S1H,1,2026,Kalyana Karnataka,21568,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ELECTRICAL & ELECTRONICS ENGINEERING,2AH,1,2026,Kalyana Karnataka,18610.5,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ELECTRICAL & ELECTRONICS ENGINEERING,3AH,1,2026,Kalyana Karnataka,15188,2026_first_round_kalyana_karnataka.pdf
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ELECTRICAL & ELECTRONICS ENGINEERING,GMH,1,2026,Kalyana Karnataka,13937,2026_first_round_kalyana_karnataka.pdf
